study,pmid,doi,vector,vector_subsp,vector_strain,vector_origin_country,vector_origin_locality,vector_origin_year,vector_gen,virus,viral_lineage,viral_strain,viral_gen_bank_accession,viral_origin_locality,viral_origin_year,viral_history_passage,viral_history_freshness,exposure_route,host_exp,host_lineage_origin,diagnostic_virem,titer,titer_units,dose,dose_units,temp_o_c_reared,temp_o_c_eit,dpi,coinfected,sample_31,diagnostic_32,number_tested_33,number_positive_34,sample_35,diagnostic_36,number_tested_37,number_positive_38,sample_39,diagnostic_40,number_tested_41,number_positive_42,sample_43,diagnostic_44,number_tested_45,number_positive_46,sample_47,diagnostic_48,number_tested_49,number_positive_50
Bennett et al. 2002 Am J Trop Med Hyg,12363070,10.4269/ajtmh.2002.67.85,Aedes aegypti,NA,NA,Mexico,"Tapachula II, Chiapas",NA,F2-3,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,2 passages C6/36 cells,fresh,bloodmeal,NA,NA,NA,7.5-8.5log10,TCID50/ml,NA,NA,27ºC,27ºC,14,no,head,IFA,100,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2002 Am J Trop Med Hyg,12363070,10.4269/ajtmh.2002.67.85,Aedes aegypti,NA,NA,Mexico,"Chetumal, Quintana Roo",NA,F1-2,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,2 passages C6/36 cells,fresh,bloodmeal,NA,NA,NA,7.5-8.5log10,TCID50/ml,NA,NA,27ºC,27ºC,14,no,head,IFA,109,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2002 Am J Trop Med Hyg,12363070,10.4269/ajtmh.2002.67.85,Aedes aegypti,NA,NA,Mexico,"Cancun, Quintana Roo",NA,F1-2,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,2 passages C6/36 cells,fresh,bloodmeal,NA,NA,NA,7.5-8.5log10,TCID50/ml,NA,NA,27ºC,27ºC,14,no,head,IFA,139,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2002 Am J Trop Med Hyg,12363070,10.4269/ajtmh.2002.67.85,Aedes aegypti,NA,NA,Mexico,"Merida, Yucatan",NA,F1-2,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,2 passages C6/36 cells,fresh,bloodmeal,NA,NA,NA,7.5-8.5log10,TCID50/ml,NA,NA,27ºC,27ºC,14,no,head,IFA,149,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2002 Am J Trop Med Hyg,12363070,10.4269/ajtmh.2002.67.85,Aedes aegypti,NA,NA,Mexico,"Campeche, Campeche",NA,F1,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,2 passages C6/36 cells,fresh,bloodmeal,NA,NA,NA,7.5-8.5log10,TCID50/ml,NA,NA,27ºC,27ºC,14,no,head,IFA,60,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2002 Am J Trop Med Hyg,12363070,10.4269/ajtmh.2002.67.85,Aedes aegypti,NA,NA,Mexico,"Ciudad del Carmen, Campeche",NA,F1,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,2 passages C6/36 cells,fresh,bloodmeal,NA,NA,NA,7.5-8.5log10,TCID50/ml,NA,NA,27ºC,27ºC,14,no,head,IFA,60,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2002 Am J Trop Med Hyg,12363070,10.4269/ajtmh.2002.67.85,Aedes aegypti,NA,NA,Mexico,"Villahermosa, Tabasco",NA,F1-3,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,2 passages C6/36 cells,fresh,bloodmeal,NA,NA,NA,7.5-8.5log10,TCID50/ml,NA,NA,27ºC,27ºC,14,no,head,IFA,175,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2002 Am J Trop Med Hyg,12363070,10.4269/ajtmh.2002.67.85,Aedes aegypti,NA,NA,Mexico,"Moloacan, Veracruz",NA,F1-2,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,2 passages C6/36 cells,fresh,bloodmeal,NA,NA,NA,7.5-8.5log10,TCID50/ml,NA,NA,27ºC,27ºC,14,no,head,IFA,123,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2002 Am J Trop Med Hyg,12363070,10.4269/ajtmh.2002.67.85,Aedes aegypti,NA,NA,Mexico,"Miguel Aleman, Tamaulipas",NA,F1-2,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,2 passages C6/36 cells,fresh,bloodmeal,NA,NA,NA,7.5-8.5log10,TCID50/ml,NA,NA,27ºC,27ºC,14,no,head,IFA,196,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2002 Am J Trop Med Hyg,12363070,10.4269/ajtmh.2002.67.85,Aedes aegypti,NA,NA,Mexico,"Nuevo Laredo, Tamaulipas",NA,F1-2,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,2 passages C6/36 cells,fresh,bloodmeal,NA,NA,NA,7.5-8.5log10,TCID50/ml,NA,NA,27ºC,27ºC,14,no,head,IFA,171,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2002 Am J Trop Med Hyg,12363070,10.4269/ajtmh.2002.67.85,Aedes aegypti,NA,NA,Mexico,"Monterrey, Nuevo Leon",NA,F1-2,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,2 passages C6/36 cells,fresh,bloodmeal,NA,NA,NA,7.5-8.5log10,TCID50/ml,NA,NA,27ºC,27ºC,14,no,head,IFA,121,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2002 Am J Trop Med Hyg,12363070,10.4269/ajtmh.2002.67.85,Aedes aegypti,NA,NA,United States of America,"Houston, Texas",NA,F1-2,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,2 passages C6/36 cells,fresh,bloodmeal,NA,NA,NA,7.5-8.5log10,TCID50/ml,NA,NA,27ºC,27ºC,14,no,head,IFA,100,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2002 Am J Trop Med Hyg,12363070,10.4269/ajtmh.2002.67.85,Aedes aegypti,NA,NA,United States of America,"Tucson, Arizona",NA,F1-2,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,2 passages C6/36 cells,fresh,bloodmeal,NA,NA,NA,7.5-8.5log10,TCID50/ml,NA,NA,27ºC,27ºC,14,no,head,IFA,99,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2005 Genetics,15781707,10.1534/genetics.104.035634,Aedes aegypti,NA,D2S3 x D2MEB 2.2,NA,NA,NA,F2,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,NA,NA,bloodmeal,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,no,midgut,IFA,76,62,head,IFA,62,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2005 Genetics,15781707,10.1534/genetics.104.035634,Aedes aegypti,NA,D2S3 x D2MEB 2.2,NA,NA,NA,F5,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,NA,NA,bloodmeal,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,no,midgut,IFA,436,244,head,IFA,244,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2005 Genetics,15781707,10.1534/genetics.104.035634,Aedes aegypti,NA,D2MEB x D2S3 7.1,NA,NA,NA,F2,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,NA,NA,bloodmeal,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,no,midgut,IFA,40,33,head,IFA,33,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2005 Genetics,15781707,10.1534/genetics.104.035634,Aedes aegypti,NA,D2MEB x D2S3 7.1,NA,NA,NA,F5,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,NA,NA,bloodmeal,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,no,midgut,IFA,296,241,head,IFA,241,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2005 J Med Entomol,15799518,10.1093/jmedent/42.2.110,Aedes aegypti,NA,D2S3,NA,NA,NA,F2,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,C6/36 cells,NA,bloodmeal,NA,NA,NA,7.17-8log10,TCID50/ml,NA,NA,NA,NA,14,no,midgut,IFA,41,40,head,IFA,41,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2005 J Med Entomol,15799518,10.1093/jmedent/42.2.110,Aedes aegypti,NA,D2S3,NA,NA,NA,F3,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,C6/36 cells,NA,bloodmeal,NA,NA,NA,7.17-8log10,TCID50/ml,NA,NA,NA,NA,14,no,midgut,IFA,35,34,head,IFA,35,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2005 J Med Entomol,15799518,10.1093/jmedent/42.2.110,Aedes aegypti,NA,D2S3,NA,NA,NA,F4,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,C6/36 cells,NA,bloodmeal,NA,NA,NA,7.17-8log10,TCID50/ml,NA,NA,NA,NA,14,no,head,IFA,37,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2005 J Med Entomol,15799518,10.1093/jmedent/42.2.110,Aedes aegypti,NA,D2S3,NA,NA,NA,F6,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,C6/36 cells,NA,bloodmeal,NA,NA,NA,7.17-8log10,TCID50/ml,NA,NA,NA,NA,14,no,head,IFA,32,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2005 J Med Entomol,15799518,10.1093/jmedent/42.2.110,Aedes aegypti,NA,D2S3,NA,NA,NA,F10,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,C6/36 cells,NA,bloodmeal,NA,NA,NA,7.17-8log10,TCID50/ml,NA,NA,NA,NA,14,no,midgut,IFA,65,61,head,IFA,65,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2005 J Med Entomol,15799518,10.1093/jmedent/42.2.110,Aedes aegypti,NA,D2S3,NA,NA,NA,F13,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,C6/36 cells,NA,bloodmeal,NA,NA,NA,7.17-8log10,TCID50/ml,NA,NA,NA,NA,14,no,midgut,IFA,48,48,head,IFA,48,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2005 J Med Entomol,15799518,10.1093/jmedent/42.2.110,Aedes aegypti,NA,D2MEB,NA,NA,NA,F2,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,C6/36 cells,NA,bloodmeal,NA,NA,NA,7.17-8log10,TCID50/ml,NA,NA,NA,NA,14,no,midgut,IFA,50,39,head,IFA,50,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2005 J Med Entomol,15799518,10.1093/jmedent/42.2.110,Aedes aegypti,NA,D2MEB,NA,NA,NA,F3,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,C6/36 cells,NA,bloodmeal,NA,NA,NA,7.17-8log10,TCID50/ml,NA,NA,NA,NA,14,no,midgut,IFA,24,21,head,IFA,24,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2005 J Med Entomol,15799518,10.1093/jmedent/42.2.110,Aedes aegypti,NA,D2MEB,NA,NA,NA,F4,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,C6/36 cells,NA,bloodmeal,NA,NA,NA,7.17-8log10,TCID50/ml,NA,NA,NA,NA,14,no,midgut,IFA,76,56,head,IFA,76,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2005 J Med Entomol,15799518,10.1093/jmedent/42.2.110,Aedes aegypti,NA,D2MEB,NA,NA,NA,F5,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,C6/36 cells,NA,bloodmeal,NA,NA,NA,7.17-8log10,TCID50/ml,NA,NA,NA,NA,14,no,midgut,IFA,65,55,head,IFA,65,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bergren et al. 2021 PLoS Negl Trop Dis,33750981,10.1371/journal.pntd.0009273,Culex tarsalis,NA,NA,United States of America,"Kern National Wildlife Refuge, Kern County, California",1953 July,NA,Rift Valley fever virus,NA,Kenya 128B-15,NA,NA,NA,Vero cells,"fresh, 4ºC",bloodmeal,NA,NA,NA,1E7.6,PFU/ml,NA,NA,NA,NA,7,no,body,plaque assay,25,18,legs and wings,plaque assay,25,12,saliva,plaque assay,25,10,ovaries,plaque assay,25,15,NA,NA,NA,NA
Bolling et al. 2012 Virology,22425062,10.1016/j.virol.2012.02.016,Culex pipiens,NA,CPCO,United States of America,"Dixon Reservoir and Riverbend Ponds Natural Area in Fort Collins, Colorado",2005,NA,West Nile virus,NA,NA,NA,"Fort Collins, Colorado",2004,5 passages Vero cells,NA,bloodmeal,NA,NA,NA,10000000,PFU/ml,NA,NA,27°C,NA,14,yes,abdomen and thorax,qRT-PCR,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolling et al. 2012 Virology,22425062,10.1016/j.virol.2012.02.016,Culex pipiens,NA,CPIA,United States of America,Iowa,2002,NA,West Nile virus,NA,NA,NA,"Fort Collins, Colorado",2004,5 passages Vero cells,NA,bloodmeal,NA,NA,NA,10000000,PFU/ml,NA,NA,27°C,NA,14,no,abdomen and thorax,qRT-PCR,24,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolling et al. 2012 Virology,22425062,10.1016/j.virol.2012.02.016,Culex pipiens,NA,CPCO,United States of America,"Dixon Reservoir and Riverbend Ponds Natural Area in Fort Collins, Colorado",2005,NA,West Nile virus,NA,NA,NA,"Fort Collins, Colorado",2004,5 passages Vero cells,NA,bloodmeal,NA,NA,NA,10000000,PFU/ml,NA,NA,27°C,NA,7,yes,abdomen and thorax,qRT-PCR,29,25,"legs, head, and wings",qRT-PCR,29,21,saliva,qRT-PCR,29,1,NA,NA,NA,NA,NA,NA,NA,NA
Bolling et al. 2012 Virology,22425062,10.1016/j.virol.2012.02.016,Culex pipiens,NA,CPIA,United States of America,Iowa,2002,NA,West Nile virus,NA,NA,NA,"Fort Collins, Colorado",2004,5 passages Vero cells,NA,bloodmeal,NA,NA,NA,10000000,PFU/ml,NA,NA,27°C,NA,7,no,abdomen and thorax,qRT-PCR,33,32,"legs, head, and wings",qRT-PCR,33,31,saliva,qRT-PCR,33,1,NA,NA,NA,NA,NA,NA,NA,NA
Bolling et al. 2012 Virology,22425062,10.1016/j.virol.2012.02.016,Culex pipiens,NA,CPCO,United States of America,"Dixon Reservoir and Riverbend Ponds Natural Area in Fort Collins, Colorado",2005,NA,West Nile virus,NA,NA,NA,"Fort Collins, Colorado",2004,5 passages Vero cells,NA,bloodmeal,NA,NA,NA,10000000,PFU/ml,NA,NA,27°C,NA,14,yes,abdomen and thorax,qRT-PCR,24,17,"legs, head, and wings",qRT-PCR,24,16,saliva,qRT-PCR,24,5,NA,NA,NA,NA,NA,NA,NA,NA
Bolling et al. 2012 Virology,22425062,10.1016/j.virol.2012.02.016,Culex pipiens,NA,CPIA,United States of America,Iowa,2002,NA,West Nile virus,NA,NA,NA,"Fort Collins, Colorado",2004,5 passages Vero cells,NA,bloodmeal,NA,NA,NA,10000000,PFU/ml,NA,NA,27°C,NA,14,no,abdomen and thorax,qRT-PCR,24,19,"legs, head, and wings",qRT-PCR,24,16,saliva,qRT-PCR,24,3,NA,NA,NA,NA,NA,NA,NA,NA
Borland et al. 2016 Vector Borne Zoonotic Dis,27248005,10.1089/vbz.2015.1907,Culex tarsalis,NA,NA,NA,NA,NA,NA,Highlands J Virus,Lineage 1,HJV B230,NA,Kern National Wildlife Refuge,NA,Vero cells,"frozen, -80ºC",bloodmeal,NA,NA,NA,5.5 log10/mL,viral RNA/ml,NA,NA,28,28,4,no,body,CPE assay,78,31,head,CPE assay,78,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Borland et al. 2016 Vector Borne Zoonotic Dis,27248005,10.1089/vbz.2015.1907,Culex tarsalis,NA,NA,NA,NA,NA,NA,Highlands J Virus,Lineage 1,HJV B230,NA,Kern National Wildlife Refuge,NA,Vero cells,"frozen, -80ºC",bloodmeal,NA,NA,NA,5.5 log10/mL,viral RNA/ml,NA,NA,28,28,8,no,body,CPE assay,83,26,head,CPE assay,83,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Borland et al. 2016 Vector Borne Zoonotic Dis,27248005,10.1089/vbz.2015.1907,Culex tarsalis,NA,NA,NA,NA,NA,NA,Highlands J Virus,Lineage 1,HJV B230,NA,Kern National Wildlife Refuge,NA,Vero cells,"frozen, -80ºC",bloodmeal,NA,NA,NA,5.5 log10/mL,viral RNA/ml,NA,NA,28,28,11,no,body,CPE assay,76,21,head,CPE assay,76,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Borland et al. 2016 Vector Borne Zoonotic Dis,27248005,10.1089/vbz.2015.1907,Culex tarsalis,NA,NA,NA,NA,NA,NA,Highlands J Virus,Lineage 1,HJV 64A-1519,NA,Kern National Wildlife Refuge,NA,Vero cells,"frozen, -80ºC",bloodmeal,NA,NA,NA,5.5 log10/mL,viral RNA/ml,NA,NA,28,28,4,no,body,CPE assay,75,23,head,CPE assay,75,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Borland et al. 2016 Vector Borne Zoonotic Dis,27248005,10.1089/vbz.2015.1907,Culex tarsalis,NA,NA,NA,NA,NA,NA,Highlands J Virus,Lineage 1,HJV 64A-1519,NA,Kern National Wildlife Refuge,NA,Vero cells,"frozen, -80ºC",bloodmeal,NA,NA,NA,5.5 log10/mL,viral RNA/ml,NA,NA,28,28,8,no,body,CPE assay,80,18,head,CPE assay,80,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Borland et al. 2016 Vector Borne Zoonotic Dis,27248005,10.1089/vbz.2015.1907,Culex tarsalis,NA,NA,NA,NA,NA,NA,Highlands J Virus,Lineage 1,HJV 64A-1519,NA,Kern National Wildlife Refuge,NA,Vero cells,"frozen, -80ºC",bloodmeal,NA,NA,NA,5.5 log10/mL,viral RNA/ml,NA,NA,28,28,11,no,body,CPE assay,80,25,head,CPE assay,80,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
